id,space
120,空间很满意的，尤其是后备箱，本人1米75的个，坐起来完全没有压抑感。
121,行礼箱空间很大，可以放很多东西
122,宽敞。尤其是后排，坐着不感到憋屈
123,非常满意，非常大
124,"空间是满意的一点，前面座位调好之后，后排座3个一点不拥挤，腿部还宽敞,后备箱还可以放很多行李！很实用!"
125,同级车难逢敌手，无论车内空间还是后备箱空间都很充裕，后排坐两个大人一个孩子妥妥的没问题！将近五百升储物空间完全满足需要。
126,这个肯定没问题，后排翘个二郎腿还有很多富余的空间，后备箱家用很充足。
127,空间很大，后排坐三个人一点都不挤，腿在里面也不窝捏的慌，后备箱那是真不小，我放了三个行李箱还有空余的地方，以后出去旅游就可以带好多东西，不用在外面买了（必用的东西）。
128,表现十分优异，没有让人能挑剔的地方，前后两排的空间都很宽敞，中间地板隆起也不是特别高，后备箱很大，放置一般的家用物品，箱包绝对是小菜一碟。
129,车内的头部空间，腿部空间，都挺大的，最重要坐在后排的空间特别大，家里人都做的很舒服
130,前排调整至适合乘坐距离，后排还有将近两拳距离，轴距大，腿部空间大，头部相对局促一点。后备箱很深。有近一米的深度。
131,相对于同级别的车子，空间还是比较大的，特别是后排空间，简直没话说
132,空间这块没有什么好吐槽的，只能说和同级车差不多吧。我坐在后排，脑袋离车顶还有1拳头左右，不算太压抑。
133,空间是真大，后边我媳妇说如果我犯错就让我睡车里。
134,乘坐空间足需足的，储物空间够用了
135,后排够宽敞，我1.7米可以翘起来腿，前排也大，不定顶头
136,够大，后备箱跟朋友的阿特兹一样大，阿特兹483L
137,对于一个胖纸来说，这样的空间应该是可以满足的。不顶头。后面的还可以，反正不经常往后面去。
138,前排空间很满意，后排地板全平，简直就是大爱。
139,空间很宽敞，带小孩老公坐一点都不挤，很好
140,空间比较大，本人180，不显挤，头部还有半拳。
141,很大，用一个大字很难形容，如果可以的话，还是自己试驾一下去看看实车为好。
142,这个还可以，有时候朋友搭顺风车都说空间挺好的。
143,够大
144,"空间方面, 在同级别之内我认为是无可比拟的, 后排坐4个人也不是很拥挤, 其它的某些车后排坐3个就拥挤了哦, 尾箱空间也是很充足, 对于我这个成了家的人来说, 都是足够用了哦, 每次回老家去\""扫荡\""的时候都是装的满满的, 哈哈!"
145,后排头部空间一般
146,空间真的不错，前排后排都不错，后备箱空间也特别大。很喜欢
147,空间来说我觉得在我对比的几款车里面算是大的了～主要是家用也够用了！
148,前后排空间均十分出色。重点是后排腿部空间好。后排座椅放平后，完全平面，必须点赞。
149,空间绝对够大，2660mm的轴距不是吹出来的，车身宽，后排坐三个人一点不显不拥挤，可以坐得下4个人；
150,同级别车型中的翘楚！坐我车的人都赞??。
151,空间大，后排能够轻松坐下三个人一点都不挤
152,超级满意，特别是后部的腿部空间大，坐着让人感觉很舒服。后备箱的空间也是超级大，后排座椅可以4/6放倒，给人更多的选择，作为家庭车确实多了很大的方便。
153,空间很大，后排座3个大人一点也不挤
154,空间，很大，2660MM的轴距，前排后排的座椅很大，很舒适。
155,空间不错，本人178CM坐着很敞亮，后排空间值得表扬，坐上还能留两拳。
156,在这个级别的车中，空间算是不错了的，车主178，前排调好，后排还有一拳3指的空间，很不错了，而且车很宽，横向空间十分不错，后备箱也中规中矩，主流水平
157,空间非常大，不管是主驾或副驾，空间都非常大，后排坐三个胖子空间都足够大
158,空间较满意，家里人都坐上去后排空间还有空余
159,后排不错，腿部空间够大。
160,空间一般吧，基本够用，也不算小，周围没有特别胖的人
161,一家4口足够。接近A+级轿车水平。
162,我1米78的个子坐在后排还有一个拳头的距离，要是坐在前面还是需要调整一下座椅，可能个子有点高吧。主要就是老丈人他们坐在后面不觉得拥挤。
163,后背箱深度OK 但高度比其他车要低
164,空间非常大，足够一家人坐，车内坐5个人一点都不挤，空间表现本人1米8几的身高，坐在前排头部大概一拳，后排头部接近一拳这样，足够日常家庭需要得了。后备箱容积482L。
165,本身SUV的空间就基本家用都能满足 不需要怎么担心 加上这家伙还有全景天窗 真是特别敞亮 但是总是不由自主的往上看 还是不太习惯
166,空间感觉一家四口不挤
167,空间大 还算满意
168,轴距2700mm，乘坐空间很大，后排座放倒，完全平放，适合长途休息，放大型对象
169,无可挑剔，特别是后排可以放倒。
170,车内空间很充足，后备箱很大，乘客，拉东西都不错！
171,空间没得说，尺寸放在这里，尤其是它的轴距，达到2.66米，坐后排的老婆和孩子腿部可以随意的舒展。
172,后备箱没有想象中的那么小能放很多东西，坐后排腿部空间也不挤，驾驶座视线有点高。
173,空间蛮大，坐三个人不会挤
174,跟其他几个品牌的这一价位的车相比，空间没得说，身高175，坐进去视野开阔，没有压抑感，后排也很充裕
175,全车26的储物空间真的好棒，朋友的现代羡慕死我了，2700的轴距也是超越了同级
176,相对于这价位的车大！很大！非常大！不论是前后排还是后备箱。不足的是后排中间凸起较高，不适合大人长时间坐。
177,空间还是蛮不错的，大大滴，后备箱空间也是真的大啊，上次一家人出去玩，后面坐了3小孩，2大人也不觉得拥挤。
178,作为一辆紧凑型SUV确实从外形就能够看出与一般SUV的区别，相比起越野这款车更适合家用，前后排空间非常理想，作为家用车来说最好不过了，感觉这款车不止男士能开女士也很适合，马云果然始马云，不会放过任何一个市场。
179,真的很能装的！家里老老小小有时候人多全带上去也不会觉得挤！后备箱也是能装的！非常非常的强大
180,空间足够用，单身小伙子，车上就自己一个人
181,空间很大，这也是我比较满意的，特别是后备箱非常大，很实用！汽车之家限制真多，真心的麻烦！
182,空间没的说，非常的宽敞，后排180身高的人翘起二郎腿都不成问题，后备箱塞上几个人都可以，哈哈
183,空间较为宽裕，我体型偏胖，一百多公斤的大胖子往前排一坐，屁股倒是不会被挤，而且头部距离车底也一拳有余，不压抑。
184,空间比较满意，家庭用的，家里人多，空间必须大，特别后备箱，也很大，拉不少东西
185,空间算可以，
186,同级别上等，尤其是后排，后备箱空间同级别一般
187,乘坐空间很大，坐五个成年人一点也不挤。后备箱也能装不少东西，最多的时候，我装过九箱也不是十箱啤酒。
188,挺大 家用够用
189,自己个头不高，坐在里面不觉得压抑，老公说后排坐进去有点小，因为他太胖了，一直坐在副驾驶
190,还不错
191,空间很大 很满意 一家人坐满出去都不会觉得拥挤
192,1米8几的车宽后排坐3个人没问题，后备箱同级别里面是比较大的。空间也是我主要选择***360的原因。
193,前后排都有着不错的乘坐空间，尤其是后排空间，坐进去大约有三拳的腿部空间。
194,这个觉得给满分 空间很大
195,一般如果后排中间不拱这么高应该还是蛮大的。
196,后排跟后备箱都大，如果门边的储物空间更合理些就完美了
197,空间很满意，很大。
198,空间挺大，后备箱也挺大，全黑内饰感觉很上档次
199,对于我们俩来说，空间足够大了，自驾游什么的都妥妥的，如果加个小孩，问题应该这不大的
200,乘坐空间出色 后备箱稍小
201,空间大啊，230斤的胖子坐里边都不觉得挤！
202,紧凑车里算很好了，公司领导200斤的块头坐后排表示舒适。
203,空间很不错了，挺满意
204,空间超级满意！
205,空间那是舒服的很，同级别的车里算大的，家里人都比较满意
206,挺大的，反正我们一家四口坐在车上很有空余，而且后备箱很大，反正我们一家人出去买东西从来没填满过后备箱。
207,就一个字形容好 大！
208,乘坐空间非常大，不过后备箱真的有点小
209,轴距2700家用足够了
210,360的空间还是很不错，后备箱的空间也可以，家用来说还是够用了！
211,空间很大，我个头不大，对我来说绝对够用了，后排宝宝椅放上去还有很大空间~
212,空间不错，后排3个人没问题！
213,后排坐三个人也不会显得拥挤，翘个二郎腿也是非常Easy的事情，后排座椅平放后可以很大提升后备箱的空间，能装不少东西，居家旅行时够用了，找不到旅馆，在后备箱蜗居一完也是绰绰有余的
214,乘坐起来比较舒服，后背箱的空间也够用。
215,空间没的说，第二排可以四六放到，特别方便，拉人载物两不耽搁
216,必须五分五分五分 没话说
217,空间还是很大的，我们一大家五六个人坐在里面也不会很挤
218,空间没得说，够宽敞，我180的个子，驾驶位调节到舒适的位置空间还有富余。
219,乘坐和后背箱空间都挺大，后面坐人也能伸腿，不会憋屈着难受。
220,空间非常大，别看是紧凑型轿车，但是空间绝对达到B级车水准了。
221,空间很大，后排空间也不拥挤，后备箱也能塞很多东西。
222,空间挺大的，尤其是后排空间，坐3个人不挤，后排地板挺平的。
223,空间很大 尤其是后排坐着很舒服
224,很大，至少满足我们一家人完全没问题。
225,乘坐空间够大，载物空间也足够了，目前为止，对我来说是够用的
226,这个不用说了，坐过的人第一句话都会说你这车的空间挺大的，坐着很舒服。
227,够大，够用
228,***360的空间确实大，后背箱大，前面的空间也很足，后排3个大人没问题。
229,空间够大，家里两娃坐后面一点不憋屈
230,空间没问题啊，SUV基本都这么大的一个空间，这款车的特点是后排可以放平的！这个挺不错的设计！
231,空间很不错同等价位的很好了。
232,后排空间挺宽的，后备箱空间也大，我的一套钓鱼装备装完还有多余空间方个婴儿车。
233,中规中矩，宽敞，够用
234,空间非常不错，现在基本是自己开，前排空间随意可调到自己舒服的坐姿，后排空间还有2拳的余量，后备箱底部很平整，空间也很不错。
235,空间给了我很大的惊喜，尤其是后排空间带两个孩子出去玩再也不用担心他们了…
236,2660的轴距，很赞。
237,我的车里面曾经坐过八个人，你们信吗？前排三个，后排5个，就是这么厉害。
238,虽然轴距不算很大，但是空间真的很大。后地板也是平整的，坐人也舒服。
239,后排空间还不错，后备箱再大点就好了，好在放倒之后是全平，赞一个！
240,空间这车可以说是完全够用，尤其后排的空间，看到销售给我介绍后排可以调节，甚至可以放平，感觉上汽这次做的够贴心。有一点就是它的前排座椅有点窄，要是胖子还真是有点小
241, 超级座舱，超大后备箱随心组合
242,空间足够大.反正本来觉得足够用。回家买点东西放后备厢足够了。
243,空间非常大，一米八的人前后做一点不显挤。
244,和老款差不多
245,空间比途观大！
246,空间很充足，1.75后排翘二郎腿就是感觉后车厢有点小但也够用
247,空间很不错，后排地板也很平，后头的人坐到很舒服，在一个后备箱空间也很大，经常出去耍，有时候放的东西很多，
248,空间方面，这款车确实没有让我失望，我坐在里面完全没有拘束感，很好的空间
249,空间还是很不错的，比我之前的福克斯好太多了，非常宽敞
250,空间足够大，能装好多东西，后排有次坐了4个人，OK的，周末能装人出去聚聚会啊，露个营啊，后备箱装好多
251,看的这几款车中，***360绝壁是空间最大的。拐英朗好大一截。个人一米八的身高，驾驶位坐好头部一拳多的距离，后排前后将近两拳距离。绝对给力。
252,"不错，本人183,210斤，调好座位后排也还宽松"
253,这个价位的车型空间算是相当的不错了，特别是后排和后备箱
254,空间很宽敞 后排空间很大
255,乘坐空间很满意，乘坐舒适，座椅舒服，可以翘二郎腿，储物空间很大，满意后备箱里面的储物盒，这样好多东西都不会乱放了，整体很满意。
256,本人193cm，乘驾都不错，车上坐5人不算拥挤，后备箱空间比较大，我经常满载，哈哈
257,可以，家用足够
258,我觉得国人买车还是很看重空间的，我也不例外，对于空间这点非常满意，后排就算是坐三个大男人完全没问题。后备箱的空间也很大，还没装过特别多的东西，装几个行李箱肯定没问题。
259,还算大的，后排3个人坐的话一点也不挤
260,这款车的空间也是一大优势，轴距2705，坐在车里，前后排的距离很宽敞，比较够用，也是比较的方便的
261,空间在同级别里面算是偏上了！很不错！
262,空间没的说的，后排做三个人绝对OK的，而且挤挤做四个人也可以。我身高178，调整好座椅，除了头顶稍微觉得有点压抑，其他的宽度和深度都很好，做起来也很舒服。
263,空间后排座椅腿部空间家里比较满意，闺女说要是没有中间的鼓包就更好了，而且也不用挨挤了
264,空间确实很大，用着感觉舒服多了。人在车里感觉很自在。我家媳妇人高马大170的身高，她都说坐着舒服，当然了是和长安逸动，吉利帝豪相比。因为朋友买的都是这两款车。别的奥迪A6，奔驰咱也不比。因为根本不是一个档次的。
265,我们家也干点小生意，装大包药材有点勉强，不过平时用足够了
266,空间大，没话说，还带全景天窗，我朋友1米8几完全不挤，他说腿都可以翘二郎腿了，哈哈。
267,一家三口出行，空间表现绰绰有余，前排空间调整好后排腿部空间仍很宽敞。偶尔周末外出自驾游，后备厢空间能带的东西也不少。
268,空间还可以，家里人坐后排觉得还挺舒适，就是后排中间有鼓包要是坐三个人会不得劲，空间最满意的还是后备箱，真的是很能装啊，帮朋友取了一次货，竟然三四箱东西都装里了还空出来点地方，这让她们好顿夸啊
269,一米七三的我坐在主驾驶 感觉头顶空间 不是特别宽裕 其它空间都很满意
270,这个车的空间非常大，前排腿部空间也挺大的，后备箱目测也挺大的。还没有放很多东西！
271,还算可以，平时小三口之家座，毫无压力，有时候爸妈一起座 还算宽敞，比朋友的K2宽敞
272,后排并排能坐3～4个人，够宽了。后备箱平常装工具，装材料能放不少。
273,车子空间还是很好，满载不挤，后备箱可以装3个箱子
274,空间很大尤其的后排
275,宽敞，前后座位的距离很大，
276,我觉得够用了 毕竟上下班开开 带老婆还是也没听她们说挤
277,本人个子中等，这个空间对于我来说足够，而且后排的空间也足够大
278,比较满意
279,够大啊！装东西随便装，喜欢。
280,空间宽敞、舒适
281,后坐宽敞，要是坐3个大人就会有点挤
282,这个价位这个档次的车，360的空间已经很好了，车内空间比较舒适不挤。
283,真的很大185cm的我很满意，但是后备箱大量空间给了后座。
284,很好，主驾位座位略微高，离顶两指（身高178）
285,大，确实很大，至少目前还没有价位差不多的车说比我车大的。后备箱空间也很给力。
286,空间很大的，坐着舒适
287,空间挺满意的 ，我和老婆都比较高 ， 都比较胖 - - 我185，她175，坐着都不觉得拥挤，五分！
288,大
289,空间相对来说，特别大，1.8m的人坐进去绝对没问题，身边很多朋友一进去就说空间真大，后备箱感觉也足够使用，后排支持4/6分，所以对空间还是比较满意的。
290,非常满意。坐5个成年人也不算太挤。
291,空间很不错，前排的头部空间，后排的腿部空间都比较理想
292,空间很宽阔，没有压抑感
293,非常满意！前后排的空间都很大，后备箱的储物空间也相当充足！一家人出行的话装行李什么的是绝对够用了！
294,：看这个车主最吸引我的就是他的空间了，因为之前是开的polo，家里都是大个子着实有点受不了，所以买这个车之前就想的是一定要买个空间大的
295,360的空间大是名副其实的，在紧凑型车型中算是不错的，反正对我来说足够用了
296,26出处储物空间，你说大不大，后座放下来之后还能放个气垫床，孩子在后面玩一点问题没有
297,很大，绝对比同级别要大很多，相比之前我们家的那个老款A4L，家人对后排空间还是很满意的。
298,乘坐空间表现不错，最多的时候拉了6个人，正常的情况下腿部空间表现不错！后备箱空间不错，和老婆从外地回来，家里东西一车全部拉走！
299,空间很大家庭用绝对很不错。
300,空间后排比较满意，除了中部的隆起位置较大，尾箱空间超赞，拉的超多
301,空间挺大，特别是后备箱，男人嘛东西也是挺多的
302,后排轻轻松松坐三个人，后备箱买来到现在就没装满过，哈哈
303,不错，很大，坐着不拥挤
304,家用，家人都比较高，空间足够。
305,空间大，这也是选360的原因之一
306,够用了 家里还有小车
307,空间不错，家用足够，后排还支持放倒，过年的时候后备箱放了好多东西。
308,整车的空间那是无可挑剔的，特别突出的地方是后排的空间，前后距离那是一个赞！
309,空间还是挺大了，很不错。
310,这款车的空间同级里面比较大，平日里和家人朋友出去玩，要带的东西都可以丢尾箱！如果放长的东西也行，后排可以放倒，个人还是觉得空间够用了！
311,空间大啊，家用完全没有问题。后排坐180的随便干！
312, 很大 一家人都满意
313,空间足够，后排座椅可以比例放到增加后背箱空间
314,后排空间确实可以，后备箱也不算小
315,空间很大，后备箱能装，周末郊游方便
316,乘坐空间表示满意。就是储物空间有点小。除了后备箱比较大。也算是安慰了
317,空间却是挺宽的，不压抑
318,对于空间很满意，我们一家人做里面很宽敞，家人都说很舒适。尤其是后备箱的空间，出行的时候带的东西，正好给我们解决了这个难题。
319,空间还算比较可以，后排做进去不拥挤！还不错
320,空间非常满意，后排三人随便坐，后备箱大一家人旅游东西随便装。
321,空间方面我还是很放心的，前排头部不顶头，后排没有凸起的地拱，坐3人都不会嫌挤，腿部空间还有余
322,后座空间还是令人满意的，一家四口出入足够舒适
323,空间表现给力，家用真的特别适合，后排坐成年人的情况下，腿部也不紧促。
324,小6的空间还是可以的即使后排坐三个人也不会显得很拥挤之前去看过大众的朗逸，它那个后排空间跟小6真的不能比坐在它的后排感觉整个人都紧凑了我不太喜欢这样的感觉毕竟坐车也是一种享受当然是要做的舒服才行还有它的后备箱能放好多东西就算出去玩也不怕人多东西没法放。小6的这一点让我很满意
325,后排够用
326,空间十分宽敞，尤其后排空间十分给力。驾驶和副驾驶两个座位坐上去有种包裹感，心里感觉很踏实。
327,作为家用一点问题没有，
328,空间可以的，后排四个没问题，后备箱也大，过年回回老家装点东西完全够用
329,乘坐空间很大，特别是后排。后备箱多一层储物格，加上后排能放平，空间够用。
330,空间够大，后背箱也够大。
331,"不错,前排的座椅往前挪,后排空间足够大"
332,空间大，后排座椅可以翘腿。
333,车内空间和后背箱都很大，满意，哈??
334,空间很大，出去玩后备箱都能放下孩子的童车，就这还能放点别的
335,空间大
336,前排空间还是特别大，但是还是要说到后排凸起的那块，有的时候后排做三个人就感觉特别不舒服
337,空间确实可以，晚上公司聚餐，5个老爷们们坐到我车上，虽然也挤，不过没那么严重
338,尚可，多坐两个人也算挤，我这样的1米8大个子还能翘“二郎腿”
339,蛮大，坐上去不会拥挤
340,就基本和我老婆两个人做，没有超载过！看着还可以 毕竟轴距2700MM
341,最满意的一点，空间秒杀同价位紧凑车！后备箱尤其大！
342,空间大大的，又能装人不挤，又可以后面装很多东西，刚觉棒棒哒，哈哈
343,空间还是挺大的，当初买的时候和老婆专门跑到后排坐了坐腿也不挤，原来开北斗星，后边如果坐高一点或者胖一点的腿就很难受了，后备箱还算可以吧，平时也没怎么装太多东西
